,TYPE,NEIGHBORHOOD,AMOUNT
40,Park,East Boston,10
41,Park,Charlestown,2
42,Park,North End,6
43,Park,South End,11
44,Park,South Boston,7
45,Park,Roxbury,25
46,Park,Jamaica Plain,10
47,Park,Dorchester,28
48,Park,Mattapan,8
49,Park,Hyde Park,10
50,Park,Roslindale,3
51,Park,West Roxbury,4
52,Park,Allston,8
53,Park,Longwood,0
54,Park,Beacon Hill,3
55,Park,Brighton,9
56,Park,Back Bay,0
57,Park,Mission Hill,3
58,Park,Fenway,1
59,Park,Chinatown,2
