TYPE,NEIGHBORHOOD,AMOUNT
Park,East Boston,7
Park,Charlestown,0
Park,Boston,62
Park,South Boston,4
Park,Roxbury,15
Park,Jamaica Plain,0
Park,Dorchester,19
Park,Mattapan,0
Park,Hyde Park,4
Park,Roslindale,2
Park,West Roxbury,3
Park,Allston,4
Park,South End,0
Park,Brighton,8
Park,Chinatown,0
Park,Mission Hill,1
Park,Beacon Hill,1
Park,North End,2
