,TYPE,NEIGHBORHOOD,AMOUNT
20,School,East Boston,3
21,School,Charlestown,3
22,School,North End,2
23,School,South End,2
24,School,South Boston,2
25,School,Roxbury,10
26,School,Jamaica Plain,2
27,School,Dorchester,6
28,School,Mattapan,3
29,School,Hyde Park,1
30,School,Roslindale,2
31,School,West Roxbury,5
32,School,Allston,1
33,School,Longwood,1
34,School,Beacon Hill,1
35,School,Brighton,2
36,School,Back Bay,1
37,School,Mission Hill,1
38,School,Fenway,0
39,School,Chinatown,0
